
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1320
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1433           0.0.0.0:0              LISTENING       14980
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9792
  TCP    0.0.0.0:5173           0.0.0.0:0              LISTENING       1384
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       6140
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       8648
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       1332
  TCP    0.0.0.0:8081           0.0.0.0:0              LISTENING       28540
  TCP    0.0.0.0:8082           0.0.0.0:0              LISTENING       16944
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       876
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       952
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       772
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2376
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3756
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       516
  TCP    0.0.0.0:50149          0.0.0.0:0              LISTENING       14980
  TCP    0.0.0.0:58636          0.0.0.0:0              LISTENING       1332
  TCP    0.0.0.0:58642          0.0.0.0:0              LISTENING       1332
  TCP    0.0.0.0:58644          0.0.0.0:0              LISTENING       1332
  TCP    0.0.0.0:63996          0.0.0.0:0              LISTENING       24448
  TCP    127.0.0.1:5432         127.0.0.1:51756        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:51757        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:51758        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:51759        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:52190        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:55302        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:55749        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:57239        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:58429        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:58452        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:59465        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:63444        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:63479        ESTABLISHED     6140
  TCP    127.0.0.1:5432         127.0.0.1:64051        ESTABLISHED     6140
  TCP    127.0.0.1:49295        127.0.0.1:49296        ESTABLISHED     12616
  TCP    127.0.0.1:49296        127.0.0.1:49295        ESTABLISHED     12616
  TCP    127.0.0.1:49537        127.0.0.1:61610        ESTABLISHED     9740
  TCP    127.0.0.1:51529        127.0.0.1:58642        TIME_WAIT       0
  TCP    127.0.0.1:51535        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:51536        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:51628        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:51629        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:51630        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:51753        0.0.0.0:0              LISTENING       8012
  TCP    127.0.0.1:51756        127.0.0.1:5432         ESTABLISHED     8012
  TCP    127.0.0.1:51757        127.0.0.1:5432         ESTABLISHED     8012
  TCP    127.0.0.1:51758        127.0.0.1:5432         ESTABLISHED     8012
  TCP    127.0.0.1:51759        127.0.0.1:5432         ESTABLISHED     8012
  TCP    127.0.0.1:52190        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:55302        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:55749        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:55751        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:57239        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:57667        127.0.0.1:61610        ESTABLISHED     9740
  TCP    127.0.0.1:58429        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:58452        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:59465        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:60393        0.0.0.0:0              LISTENING       14980
  TCP    127.0.0.1:60806        127.0.0.1:60807        ESTABLISHED     12616
  TCP    127.0.0.1:60807        127.0.0.1:60806        ESTABLISHED     12616
  TCP    127.0.0.1:61134        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:61141        0.0.0.0:0              LISTENING       20816
  TCP    127.0.0.1:61141        127.0.0.1:61142        ESTABLISHED     20816
  TCP    127.0.0.1:61142        127.0.0.1:61141        ESTABLISHED     17016
  TCP    127.0.0.1:61606        0.0.0.0:0              LISTENING       20816
  TCP    127.0.0.1:61606        127.0.0.1:51527        TIME_WAIT       0
  TCP    127.0.0.1:61606        127.0.0.1:51535        ESTABLISHED     20816
  TCP    127.0.0.1:61606        127.0.0.1:51536        ESTABLISHED     20816
  TCP    127.0.0.1:61606        127.0.0.1:51628        ESTABLISHED     20816
  TCP    127.0.0.1:61606        127.0.0.1:51629        ESTABLISHED     20816
  TCP    127.0.0.1:61606        127.0.0.1:51630        ESTABLISHED     20816
  TCP    127.0.0.1:61606        127.0.0.1:53825        TIME_WAIT       0
  TCP    127.0.0.1:61606        127.0.0.1:53832        TIME_WAIT       0
  TCP    127.0.0.1:61606        127.0.0.1:53833        TIME_WAIT       0
  TCP    127.0.0.1:61606        127.0.0.1:55751        ESTABLISHED     20816
  TCP    127.0.0.1:61606        127.0.0.1:61134        ESTABLISHED     20816
  TCP    127.0.0.1:61606        127.0.0.1:61618        ESTABLISHED     20816
  TCP    127.0.0.1:61610        0.0.0.0:0              LISTENING       17016
  TCP    127.0.0.1:61610        127.0.0.1:49537        ESTABLISHED     17016
  TCP    127.0.0.1:61610        127.0.0.1:57667        ESTABLISHED     17016
  TCP    127.0.0.1:61610        127.0.0.1:61620        ESTABLISHED     17016
  TCP    127.0.0.1:61611        0.0.0.0:0              LISTENING       17016
