
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,540 K
Registry                       128 Services                   0     20,656 K
smss.exe                       548 Services                   0        112 K
csrss.exe                      872 Services                   0      2,840 K
wininit.exe                    952 Services                   0      1,580 K
services.exe                   516 Services                   0      8,228 K
lsass.exe                      876 Services                   0     17,888 K
svchost.exe                   1148 Services                   0     29,264 K
fontdrvhost.exe               1184 Services                   0        628 K
WUDFHost.exe                  1196 Services                   0      1,516 K
svchost.exe                   1320 Services                   0     16,676 K
svchost.exe                   1372 Services                   0      4,348 K
svchost.exe                   1548 Services                   0      5,852 K
svchost.exe                   1556 Services                   0      2,800 K
IntelCpHDCPSvc.exe            1632 Services                   0      1,460 K
svchost.exe                   1640 Services                   0      2,592 K
svchost.exe                   1716 Services                   0      3,896 K
svchost.exe                   1764 Services                   0      2,484 K
svchost.exe                   1820 Services                   0     11,168 K
IntelCpHeciSvc.exe            1828 Services                   0      1,524 K
WUDFHost.exe                  2028 Services                   0      5,480 K
svchost.exe                    772 Services                   0     12,080 K
svchost.exe                   1412 Services                   0      4,308 K
svchost.exe                   2060 Services                   0      1,608 K
svchost.exe                   2088 Services                   0      7,224 K
svchost.exe                   2096 Services                   0      1,744 K
svchost.exe                   2272 Services                   0      6,224 K
svchost.exe                   2296 Services                   0      5,024 K
Memory Compression            2328 Services                   0     76,944 K
svchost.exe                   2376 Services                   0      9,120 K
igfxCUIService.exe            2396 Services                   0      1,328 K
svchost.exe                   2460 Services                   0     19,340 K
svchost.exe                   2500 Services                   0      8,252 K
svchost.exe                   2524 Services                   0      1,192 K
svchost.exe                   2592 Services                   0      2,264 K
svchost.exe                   2612 Services                   0      3,424 K
AppHelperCap.exe              2636 Services                   0      9,312 K
DiagsCap.exe                  2660 Services                   0      2,776 K
SysInfoCap.exe                2700 Services                   0     10,328 K
NetworkCap.exe                2712 Services                   0      7,208 K
TouchpointAnalyticsClient     2736 Services                   0     26,280 K
svchost.exe                   2964 Services                   0      8,008 K
svchost.exe                   2996 Services                   0     13,404 K
svchost.exe                   3228 Services                   0      1,992 K
svchost.exe                   3260 Services                   0     12,988 K
svchost.exe                   3304 Services                   0      2,876 K
svchost.exe                   3316 Services                   0      3,200 K
svchost.exe                   3448 Services                   0      5,016 K
svchost.exe                   3524 Services                   0      3,716 K
svchost.exe                   3624 Services                   0      8,344 K
svchost.exe                   3668 Services                   0      3,192 K
spoolsv.exe                   3756 Services                   0      2,332 K
svchost.exe                   3824 Services                   0      7,788 K
svchost.exe                   3868 Services                   0      3,036 K
unsecapp.exe                  3976 Services                   0      3,440 K
WmiPrvSE.exe                  4036 Services                   0      5,612 K
svchost.exe                   4148 Services                   0      1,708 K
svchost.exe                   4156 Services                   0     35,776 K
svchost.exe                   4168 Services                   0     28,040 K
OfficeClickToRun.exe          4180 Services                   0     21,096 K
ETDService.exe                4188 Services                   0      1,408 K
GameInputRedistService.ex     4224 Services                   0      1,900 K
FoxitPDFReaderUpdateServi     4236 Services                   0      2,052 K
OneApp.IGCC.WinService.ex     4372 Services                   0      7,840 K
svchost.exe                   4416 Services                   0      2,372 K
svchost.exe                   4440 Services                   0      4,604 K
jhi_service.exe               4472 Services                   0      1,112 K
esif_uf.exe                   4480 Services                   0      1,968 K
pg_ctl.exe                    4508 Services                   0      1,204 K
svchost.exe                   4516 Services                   0      1,332 K
RtkAudUService64.exe          4560 Services                   0      4,592 K
LMS.exe                       4592 Services                   0      1,920 K
RstMwService.exe              4616 Services                   0      1,256 K
SafeExamBrowser.Service.e     4680 Services                   0      2,892 K
RtkBtManServ.exe              4692 Services                   0      2,396 K
SECOMN64.exe                  4788 Services                   0      1,764 K
sqlwriter.exe                 4876 Services                   0      1,176 K
WavesSysSvc64.exe             4892 Services                   0        924 K
WMIRegistrationService.ex     4900 Services                   0      1,948 K
svchost.exe                   4944 Services                   0        552 K
svchost.exe                   5028 Services                   0      9,316 K
MsMpEng.exe                   5044 Services                   0      2,744 K
XtuService.exe                5064 Services                   0      6,908 K
